StockCode,Description,QuantitySold,Revenue,UniqueCustomers,Recommendation
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,315,1271.67,44,Maintain Current Strategy
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,968,1749.94,54,Increase Inventory
72802C,VANILLA SCENT CANDLE JEWELLED BOX,1374,2541.12,63,Increase Inventory
72803A,ROSE SCENT CANDLE JEWELLED DRAWER,528,714.0,30,Increase Inventory
72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,339,1402.03,53,Maintain Current Strategy
72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,348,1435.0,56,Maintain Current Strategy
72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,669,2727.97,83,Increase Inventory
72811,SMALL ZINC/GLASS CANDLEHOLDER,49,67.25,6,Run Promotional Campaign
72812,LARGE ZINC GLASS CANDLEHOLDER,18,49.980000000000004,3,Run Promotional Campaign
72815,3 WICK CHRISTMAS BRIAR CANDLE ,2,7.5,1,Run Promotional Campaign
72816,SET/3 CHRISTMAS DECOUPAGE CANDLES,826,841.56,26,Increase Inventory
72817,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,1048,961.4,74,Increase Inventory
72818,CHRISTMAS DECOUPAGE CANDLE,1821,782.77,51,Increase Inventory
72819,CUPID DESIGN SCENTED CANDLES,208,436.4,28,Maintain Current Strategy
72821,CUPID SCENTED CANDLE IN GLASS,11,18.15,4,Run Promotional Campaign
75011,BLUE DAISY MOBILE,172,138.76,9,Maintain Current Strategy
75013B,"STRING OF 8 BUTTERFLIES,PINK",25,41.24999999999999,6,Run Promotional Campaign
75049L,LARGE CIRCULAR MIRROR MOBILE,6809,6092.049999999999,71,Increase Inventory
75131,METAL TUBE CHIME ON BAMBOO,488,522.5600000000001,13,Maintain Current Strategy
75172,PAINTED SEA SHELL METAL WINDCHIME,93,85.31,8,Run Promotional Campaign
75178,ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,455,210.19,6,Maintain Current Strategy
77079,DOLPHIN WINDMILL,1,2.12,1,Run Promotional Campaign
77101A,UNION FLAG WINDSOCK,385,421.97,16,Maintain Current Strategy
78033,FLAG OF ST GEORGE CHAIR,37,179.35,6,Run Promotional Campaign
78034B,BLUE NETTING STORAGE HANGER,8,15.6,6,Run Promotional Campaign
78124,MAGAZINE RACK GEBRA ASSORTED ,190,246.5,16,Maintain Current Strategy
79000,MOROCCAN TEA GLASS,3784,2741.2,69,Increase Inventory
79026B,"S/4 ICON COASTER,ELVIS LIVES",25,10.61,7,Run Promotional Campaign
79030D,TUMBLER BAROQUE,402,156.78,22,Maintain Current Strategy
79030D,"TUMBLER, BAROQUE",54,58.85999999999999,5,Run Promotional Campaign
79030G,TUMBLER NEW ENGLAND,1220,475.8,35,Increase Inventory
79030G,"TUMBLER, NEW ENGLAND",138,131.94,11,Maintain Current Strategy
79051A,SMOKEY GREY COLOUR D.O.F. GLASS,587,204.79,23,Increase Inventory
79051A,SMOKEY GREY COLOUR GLASS,196,56.83999999999999,10,Maintain Current Strategy
79062D,"RETRO TIN ASHTRAY,REVOLUTIONARY",52,19.4,4,Run Promotional Campaign
79063C,"RETRO PILL BOX KEY CHAIN,THE KING",235,43.65,13,Maintain Current Strategy
79063D,"RETRO PILL BOX , REVOLUTIONARY",188,34.72,9,Maintain Current Strategy
79066K,RETRO MOD TRAY,739,618.13,69,Increase Inventory
79067,CORONA MEXICAN TRAY,143,496.25,16,Maintain Current Strategy
79071B,ENGLISH ROSE METAL WASTE BIN,20,59.0,10,Run Promotional Campaign
79144B,PAINTED LIGHTBULB STAR+ MOON,107,42.54,14,Maintain Current Strategy
79144C,PAINTED LIGHTBULB RAINBOW DESIGN,63,24.06,5,Run Promotional Campaign
79149B,SILICON STAR BULB  BLUE,18,7.56,8,Run Promotional Campaign
79151B,"SILICON CUBE 25W, BLUE",11,4.62,2,Run Promotional Campaign
79157B,UBO-LIGHT TRIOBASE BLUE,4,3.4,2,Run Promotional Campaign
79157V,UBO-LIGHT TRIOBASE PURPLE,5,4.25,3,Run Promotional Campaign
79160,HEART SHAPE WIRELESS DOORBELL,443,792.54,30,Maintain Current Strategy
79161A,ST GEORGE SET OF 10 PARTY LIGHTS,2,5.9,2,Run Promotional Campaign
79163,BLACK CHAMPAGNE GLASS,1517,621.87,25,Increase Inventory
79164,BLACK WINE GLASS,1666,697.62,12,Increase Inventory
79190A,RETRO PLASTIC 70'S TRAY,340,142.8,24,Maintain Current Strategy
79190B,RETRO PLASTIC POLKA TRAY,655,245.1,24,Increase Inventory
79190D,RETRO PLASTIC DAISY TRAY,227,95.34,16,Maintain Current Strategy
79191B,RETRO PLASTIC POLKA TRAY,154,130.9,23,Maintain Current Strategy
79191C,RETRO PLASTIC ELEPHANT TRAY,1105,812.53,57,Increase Inventory
79191D,RETRO PLASTIC DAISY TRAY,25,21.249999999999996,7,Run Promotional Campaign
79192A,RETRO PLASTIC 70'S TRAY,3,3.75,2,Run Promotional Campaign
79302M,"ART LIGHTS,FUNK MONKEY",355,950.45,26,Maintain Current Strategy
79321,CHILLI LIGHTS,9646,46265.11,205,Increase Inventory
79323B,BLACK CHERRY LIGHTS,8,54.0,1,Run Promotional Campaign
79323P,PINK CHERRY LIGHTS,4,27.0,1,Run Promotional Campaign
79329,PINK FLOCK GLASS CANDLEHOLDER,12,12.18,2,Run Promotional Campaign
79331,PINK FLOCK GLASS CANDLEHOLDER,26,17.5,3,Run Promotional Campaign
79336,LIGHT PINK FLOCK GLASS CANDLEHOLDER,36,13.680000000000003,2,Run Promotional Campaign
79337,BLUE FLOCK GLASS CANDLEHOLDER,644,259.96,9,Increase Inventory
79403,FROSTED WHITE BASE ,89,75.64999999999999,9,Run Promotional Campaign
79406,FROSTED WHITE BASE ,140,30.8,6,Maintain Current Strategy
81950B,FLOWER BLUE CLOCK WITH SUCKER,116,33.64,8,Maintain Current Strategy
81950V,FLOWER PURPLE CLOCK W/SUCKER,5,4.25,3,Run Promotional Campaign
81950V,FLOWER PURPLE CLOCK WITH SUCKER,15,4.35,3,Run Promotional Campaign
81952B,ROUND BLUE CLOCK WITH SUCKER,200,38.0,9,Maintain Current Strategy
81952V,ROUND PURPLE CLOCK WITH SUCKER,365,69.35,22,Maintain Current Strategy
81953B,ROUND BLUE CLOCK WITH SUCKER,11,2.09,2,Run Promotional Campaign
81953P,ROUND ARTICULATED PINK CLOCK W/SUCK,28,5.32,2,Run Promotional Campaign
82001S,SILVER RECORD COVER FRAME,272,955.86,13,Maintain Current Strategy
82001S,VINYL RECORD FRAME SILVER,1236,4275.22,45,Increase Inventory
82011A,"BATHROOM SCALES, TROPICAL BEACH",16,60.0,8,Run Promotional Campaign
82011B,BATHROOM SCALES RUBBER DUCKS,41,139.35,11,Run Promotional Campaign
82011C,BATHROOM SCALES FOOTPRINTS IN SAND,51,172.05,17,Run Promotional Campaign
82095,HEART BUTTONS JEWELLERY BOX,7,53.550000000000004,4,Run Promotional Campaign
82482,WOODEN PICTURE FRAME WHITE FINISH,8256,19945.45,410,Increase Inventory
82483,WOOD 2 DRAWER CABINET WHITE FINISH,2324,14573.720000000001,241,Increase Inventory
82484,WOOD BLACK BOARD ANT WHITE FINISH,5913,34414.71,285,Increase Inventory
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,707,6124.13,129,Increase Inventory
82486,WOOD S/3 CABINET ANT WHITE FINISH,1364,11343.2,183,Increase Inventory
82494L,WOODEN FRAME ANTIQUE WHITE ,6268,17583.77,392,Increase Inventory
82551,LAUNDRY 15C METAL SIGN,2791,4229.719999999999,156,Increase Inventory
82552,WASHROOM METAL SIGN,2918,4456.57,184,Increase Inventory
82567,"AIRLINE LOUNGE,METAL SIGN",495,1007.21,86,Maintain Current Strategy
82578,KITCHEN METAL SIGN,1954,1087.46,142,Increase Inventory
82580,BATHROOM METAL SIGN,5503,3016.9500000000003,210,Increase Inventory
82581,TOILET METAL SIGN,3749,1997.13,172,Increase Inventory
82582,AREA PATROLLED METAL SIGN,4288,8548.02,176,Increase Inventory
82583,HOT BATHS METAL SIGN,6367,12731.34,206,Increase Inventory
82599,FANNY'S REST STOPMETAL SIGN,421,879.1800000000001,67,Maintain Current Strategy
82600,N0 SINGING METAL SIGN,1197,2523.78,30,Increase Inventory
82600,NO SINGING METAL SIGN,4635,9571.5,207,Increase Inventory
82605,OLD DOC RUSSEL METAL SIGN,14,29.400000000000002,3,Run Promotional Campaign
82613A,"METAL SIGN,CUPCAKE SINGLE HOOK",66,82.5,13,Run Promotional Campaign
82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",400,267.6,39,Maintain Current Strategy
82613C,"METAL SIGN,CUPCAKE SINGLE HOOK",360,234.2,33,Maintain Current Strategy
82613D,METAL SIGN CUPCAKE SINGLE HOOK,469,270.85,43,Maintain Current Strategy
82615,PINK MARSHMALLOW SCARF KNITTING KIT,36,91.8,1,Run Promotional Campaign
82616B,FRAPPUCINO SCARF KNITTING KIT,307,413.83,35,Maintain Current Strategy
82616C,MIDNIGHT GLAMOUR SCARF KNITTING KIT,277,385.52,40,Maintain Current Strategy
84006,MAGIC TREE -PAPER FLOWERS,831,706.3499999999999,46,Increase Inventory
84012,MAGIC SHEEP WOOL GROWING FROM PAPER,1212,1190.0,78,Increase Inventory
84016,FLAG OF ST GEORGE CAR FLAG,25,10.5,1,Run Promotional Campaign
84029E,RED WOOLLY HOTTIE WHITE HEART.,3676,13311.26,228,Increase Inventory
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2465,9313.17,211,Increase Inventory
84030E,ENGLISH ROSE HOT WATER BOTTLE,1414,5729.66,198,Increase Inventory
84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,173,498.53000000000003,34,Maintain Current Strategy
84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,93,338.09000000000003,29,Run Promotional Campaign
84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,447,1107.0100000000002,78,Maintain Current Strategy
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,651,1333.15,106,Increase Inventory
84033,FLAG OF ST GEORGE ,23,37.95,7,Run Promotional Campaign
84050,PINK HEART SHAPE EGG FRYING PAN,3134,4370.78,139,Increase Inventory
84051,ASS COLOUR GLOWING TIARAS,279,211.95,24,Maintain Current Strategy
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,54319,13558.409999999998,307,Increase Inventory
84078A,SET/4 WHITE RETRO STORAGE CUBES ,357,13007.150000000001,79,Increase Product Price
84086B,YELLOW/BLUE RETRO RADIO,16,47.2,3,Run Promotional Campaign
84086C,PINK/PURPLE RETRO RADIO,136,401.20000000000005,13,Maintain Current Strategy
84192,ASSORTED COLOUR METAL CAT ,111,138.75,19,Maintain Current Strategy
84199,GLOW IN DARK DOLPHINS,128,26.88,28,Maintain Current Strategy
84201B,HAPPY BIRTHDAY CARD STRIPEY TEDDY,13,2.47,2,Run Promotional Campaign
84201C,HAPPY BIRTHDAY CARD TEDDY/CAKE,5,0.95,1,Run Promotional Campaign
84206A,3 BLACK CATS W HEARTS BLANK CARD,24,4.5600000000000005,3,Run Promotional Campaign
84206B,CAT WITH SUNGLASSES BLANK CARD,5,0.95,1,Run Promotional Campaign
84206C,CHAMPAGNE TRAY BLANK CARD,8,1.52,2,Run Promotional Campaign
84212,"ASSORTED FLOWER COLOUR ""LEIS""",10297,4871.45,72,Increase Inventory
84218,BOX/12 CHICK & EGG IN BASKET,122,222.29999999999998,37,Maintain Current Strategy
84226,HEN HOUSE W FAMILY IN BARN & NEST,49,34.510000000000005,9,Run Promotional Campaign
84227,HEN HOUSE W CHICK IN NEST,1,0.42,1,Run Promotional Campaign
84228,HEN HOUSE W CHICK STANDING,270,107.39999999999999,13,Maintain Current Strategy
84228,HEN HOUSE WITH CHICK STANDING,14,5.88,3,Run Promotional Campaign
84231,EASTER BUNNY WITH BASKET ON BACK,105,68.25,13,Maintain Current Strategy
84247E,PACK OF 12 CHRISTMAS FUN CARDS,47,138.65,13,Run Promotional Campaign
84247E,PACK/12 XMAS FUN CARD,33,97.35000000000001,10,Run Promotional Campaign
84247G,"DECOUPAGE,GREETING CARD,",336,141.12,17,Maintain Current Strategy
84247K,"FOLK ART GREETING CARD,pack/12",22,64.9,7,Run Promotional Campaign
84247L,FAWN AND MUSHROOM GREETING CARD,108,45.36,8,Maintain Current Strategy
84247N,PACK/12 BLUE FOLKART CARDS,22,64.9,16,Run Promotional Campaign
84249A,"GREETING CARD,SQUARE, DOUGHNUTS",160,68.84,12,Maintain Current Strategy
84251B,"GREETING CARD, STICKY GORDON",157,29.830000000000002,12,Maintain Current Strategy
84251C,"GREETING CARD, TWO SISTERS.",24,4.5600000000000005,2,Run Promotional Campaign
84251G,"GREETING CARD, OVERCROWDED POOL.",180,34.2,15,Maintain Current Strategy
84279B,CHERRY BLOSSOM DECORATIVE FLASK,179,666.93,48,Maintain Current Strategy
84279P,CHERRY BLOSSOM  DECORATIVE FLASK,336,1242.72,79,Maintain Current Strategy
84306,S/3 PINK SQUARE PLANTERS ROSES,2,21.9,2,Run Promotional Campaign
84313B,BLUE TV TRAY TABLE ,76,175.8,6,Run Promotional Campaign
84313C,ORANGE TV TRAY TABLE ,461,908.15,17,Maintain Current Strategy
84341B,SMALL PINK MAGIC CHRISTMAS TREE,618,252.23,30,Increase Inventory
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,7892,17554.27,192,Increase Inventory
84352,SILVER CHRISTMAS TREE BAUBLE STAND ,33,543.35,14,Run Promotional Campaign
84356,POMPOM CURTAIN,337,1570.15,32,Maintain Current Strategy
84358,FLOOR LAMP SHADE WOOD BASE,32,287.74,6,Run Promotional Campaign
84360,TABLE LAMP WHITE SHADE WOOD BASE,74,388.3,9,Run Promotional Campaign
84375,SET OF 20 KIDS COOKIE CUTTERS,4139,8676.27,290,Increase Inventory
84378,SET OF 3 HEART COOKIE CUTTERS,6001,7719.34,376,Increase Inventory
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,5287,6711.0,325,Increase Inventory
84387A,BIRD ON BRANCH CANVAS SCREEN,11,21.45,1,Run Promotional Campaign
84388,WISE MAN STAR SHAPE EGG PAN,24,13.14,6,Run Promotional Campaign
84402B,PURPLE DRESS JEWELLERY STAND,61,48.19,3,Run Promotional Campaign
84406B,CREAM CUPID HEARTS COAT HANGER,1917,7121.2300000000005,133,Increase Inventory
84415A,PINK FLOCK SUEDE CUSHION COVER ,12,15.0,2,Run Promotional Campaign
84415B,BLUE FLOCK CUSHION COVER ,6,12.5,2,Run Promotional Campaign
84422,PINK/BLUE DISC/MIRROR STRING,551,220.41,8,Increase Inventory
84429A,MEDIUM PINK BUDDHA HEAD ,46,135.70000000000002,13,Run Promotional Campaign
84452,METAL RABBIT LADDER EASTER ,74,62.9,14,Run Promotional Campaign
84457,SET/3 RABBITS FLOWER SKIPPPING ROPE,119,101.14999999999999,21,Maintain Current Strategy
84459A,PINK METAL CHICKEN HEART ,670,906.14,50,Increase Inventory
84459B,YELLOW METAL CHICKEN HEART ,676,938.12,54,Increase Inventory
84461,12 PINK HEN+CHICKS IN BASKET,41,104.55,13,Run Promotional Campaign
84462,3 PINK HEN+CHICKS IN BASKET,12,15.0,6,Run Promotional Campaign
84465,15 PINK FLUFFY CHICKS IN BOX,10,29.5,7,Run Promotional Campaign
84466,TOP SECRET PEN SET,46,57.5,8,Run Promotional Campaign
84497,BUTTONS AND STRIPES NOTEBOOK ,13,48.75,7,Run Promotional Campaign
84499,BLACK FLOWER CANDLE PLATE,7,5.949999999999999,2,Run Promotional Campaign
84507B,STRIPES DESIGN MONKEY DOLL,31,79.05,10,Run Promotional Campaign
84507C,BLUE CIRCLES DESIGN MONKEY DOLL,63,160.64999999999998,11,Run Promotional Campaign
84508A,CAMOUFLAGE DESIGN TEDDY,1630,3445.5000000000005,17,Increase Inventory
84508B,STRIPES DESIGN TEDDY,56,142.79999999999998,21,Run Promotional Campaign
84508C,BLUE CIRCLES DESIGN TEDDY,51,130.04999999999998,14,Run Promotional Campaign
84509A,SET OF 4 ENGLISH ROSE PLACEMATS,612,2194.64,103,Increase Inventory
84509B,SET OF 4 FAIRY CAKE PLACEMATS,156,585.0,37,Maintain Current Strategy
84509C,SET OF 4 POLKADOT PLACEMATS ,77,269.55,20,Run Promotional Campaign
84509E,SET OF 4 CAROUSEL PLACEMATS ,70,101.06,7,Run Promotional Campaign
84509G,SET OF 4 FAIRY CAKE PLACEMATS ,491,856.25,42,Maintain Current Strategy
84510A,SET OF 4 ENGLISH ROSE COASTERS,1058,1289.34,100,Increase Inventory
84510C,SET OF 4 POLKADOT COASTERS,96,122.42,25,Run Promotional Campaign
84510E,SET OF 4 GREEN CAROUSEL COASTERS,25,26.05,9,Run Promotional Campaign
84519A,TOMATO CHARLIE+LOLA COASTER SET,477,739.1899999999999,45,Maintain Current Strategy
84519B,CARROT CHARLIE+LOLA COASTER SET,425,545.99,63,Maintain Current Strategy
84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,481,388.69,51,Maintain Current Strategy
84522,PINK PARTY SUNGLASSES,12,23.4,6,Run Promotional Campaign
84527,FLAMES SUNGLASSES PINK LENSES,47,84.44999999999999,6,Run Promotional Campaign
84531A,PINK KNITTED EGG COSY,140,71.75999999999999,24,Maintain Current Strategy
84531B,BLUE KNITTED EGG COSY,149,81.50999999999999,24,Maintain Current Strategy
84534B,FAIRY CAKE NOTEBOOK A5 SIZE,46,39.1,5,Run Promotional Campaign
84535A,ENGLISH ROSE NOTEBOOK A6 SIZE,398,185.1,19,Maintain Current Strategy
84535B,FAIRY CAKES NOTEBOOK A6 SIZE,1272,762.99,80,Increase Inventory
84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,2729,1147.0,140,Increase Inventory
84536B,FAIRY CAKES NOTEBOOK A7 SIZE,1684,655.34,74,Increase Inventory
84539,KNITTED RABBIT DOLL ,16,26.4,1,Run Promotional Campaign
84548,CROCHET BEAR RED/BLUE  KEYRING,15,24.75,3,Run Promotional Campaign
84549,CROCHET WHITE RABBIT KEYRING ,31,46.349999999999994,3,Run Promotional Campaign
84550,CROCHET LILAC/RED BEAR KEYRING,1,1.65,1,Run Promotional Campaign
84551,CROCHET DOG KEYRING,1,1.65,1,Run Promotional Campaign
84558A,3D DOG PICTURE PLAYING CARDS,290,855.5000000000001,49,Maintain Current Strategy
84559A,3D SHEET OF DOG STICKERS,272,231.98,34,Maintain Current Strategy
84559B,3D SHEET OF CAT STICKERS,216,183.6,36,Maintain Current Strategy
84562A,PINK/WHITE RIBBED MELAMINE JUG,2,15.9,2,Run Promotional Campaign
84563A,PINK & WHITE BREAKFAST TRAY,59,198.05,11,Run Promotional Campaign
84563B,BLUE & WHITE BREAKFAST TRAY,69,209.55,18,Run Promotional Campaign
84568,GIRLS ALPHABET IRON ON PATCHES ,11040,2088.0,18,Increase Inventory
84569A,PACK 3 IRON ON DOG PATCHES,191,239.96,26,Maintain Current Strategy
84569B,PACK 3 FIRE ENGINE/CAR PATCHES,75,93.75,11,Run Promotional Campaign
84569C,PACK 4 FLOWER/BUTTERFLY PATCHES,1,1.25,1,Run Promotional Campaign
84569D,PACK 6 HEART/ICE-CREAM PATCHES,268,337.42,32,Maintain Current Strategy
84575A,PINK DOG CANNISTER,14,39.3,4,Run Promotional Campaign
84576,BLUE CAT BISCUIT BARREL PINK HEART,57,111.14999999999999,8,Run Promotional Campaign
84580,MOUSE TOY WITH PINK T-SHIRT,334,1256.3,91,Maintain Current Strategy
84581,DOG TOY WITH PINK CROCHET SKIRT,164,615.76,60,Maintain Current Strategy
84584,PINK GINGHAM CAT WITH SCARF,83,211.64999999999998,18,Run Promotional Campaign
84592,CROCHET ROSE PURSE WITH SUEDE BACK,70,206.50000000000003,15,Run Promotional Campaign
84593,CROCHET ROSE DES CLOTHES HANGER,5,14.750000000000002,1,Run Promotional Campaign
84595E,LARGE TORTILLA DESIGN RED BOWL,64,109.79999999999998,8,Run Promotional Campaign
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,4436,2040.19,189,Increase Inventory
84596E,SMALL LICORICE DES PINK BOWL,391,252.63,33,Maintain Current Strategy
84596F,SMALL MARSHMALLOWS PINK BOWL,3285,1553.25,166,Increase Inventory
84596G,SMALL CHOCOLATES PINK BOWL,1660,774.18,84,Increase Inventory
84596J,MIXED NUTS LIGHT GREEN BOWL,469,205.28,21,Maintain Current Strategy
84596L,BISCUITS SMALL BOWL LIGHT BLUE,1038,440.94,49,Increase Inventory
84597B,RETRO BROWN BALL ASHTRAY ,41,51.25,3,Run Promotional Campaign
84597C,RETRO PINK BALL ASHTRAY ,46,57.5,11,Run Promotional Campaign
84598,BOYS ALPHABET IRON ON PATCHES,1248,262.08,5,Increase Inventory
84600,NEW BAROQUE JEWELLERY BOX ,48,367.6,16,Run Promotional Campaign
84609,TALL ROCOCO CANDLE HOLDER,90,720.0,16,Run Promotional Campaign
84613A,PINK NEW BAROQUE FLOCK CANDLESTICK,6,27.900000000000002,3,Run Promotional Campaign
84613C,BLUE NEW BAROQUE FLOCK CANDLESTICK,1,4.65,1,Run Promotional Campaign
84614A,PINK BAROQUE FLOCK CANDLE HOLDER,2,11.9,1,Run Promotional Campaign
84616,SILVER ROCCOCO CHANDELIER,11,329.45,6,Run Promotional Campaign
84617,NEW BAROQUE BLACK BOXES,3,38.25,3,Run Promotional Campaign
84620,BLUE GINGHAM ROSE CUSHION COVER,2,11.9,1,Run Promotional Campaign
84625A,PINK NEW BAROQUECANDLESTICK CANDLE,455,470.75,24,Maintain Current Strategy
84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,439,478.15,20,Maintain Current Strategy
84629,WHITE 3 FRAME BIRDS AND TREE ,20,150.0,10,Run Promotional Campaign
84631,FRUIT TREE AND BIRDS WALL PLAQUE,16,127.2,7,Run Promotional Campaign
84632,DECORATIVE HANGING SHELVING UNIT,6,359.70000000000005,5,Run Promotional Campaign
84637,KITCHEN FLOWER POTS WALL PLAQUE,29,172.55,11,Run Promotional Campaign
84638,SMALL KITCHEN FLOWER POTS PLAQUE,19,132.05,11,Run Promotional Campaign
84658,WHITE STITCHED CUSHION COVER,44,308.48,14,Run Promotional Campaign
84659A,WHITE TRAVEL ALARM CLOCK,134,314.31,19,Maintain Current Strategy
84660A,WHITE STITCHED WALL CLOCK,837,761.9,30,Increase Inventory
84660B,BLACK STITCHED WALL CLOCK,695,684.65,20,Increase Inventory
84660C,PINK STITCHED WALL CLOCK,639,590.57,20,Increase Inventory
84661A,WHITE SQUARE TABLE CLOCK,94,132.99,10,Run Promotional Campaign
84661B,BLACK SQUARE TABLE CLOCK,95,225.48999999999998,10,Run Promotional Campaign
84661C,PINK SQUARE TABLE CLOCK,62,70.10000000000001,5,Run Promotional Campaign
84663A,GRASS HOPPER WOODEN WALL CLOCK ,260,324.04,21,Maintain Current Strategy
84665,SQUARE CHERRY BLOSSOM CABINET,105,624.75,14,Maintain Current Strategy
84666,SQUARE CHERRY BLOSSOM CABINET,24,94.80000000000001,4,Run Promotional Campaign
84673A,PINK FLY SWAT,63,40.95,21,Run Promotional Campaign
84673B,BLUE FLY SWAT,135,114.21000000000001,31,Maintain Current Strategy
84674,FLYING PIG WATERING CAN,186,426.3,31,Maintain Current Strategy
84675,FROG KING WATERING CAN,9,26.55,2,Run Promotional Campaign
84678,CLASSICAL ROSE SMALL VASE,138,227.1,10,Maintain Current Strategy
84679,CLASSICAL ROSE TABLE LAMP,6,55.7,2,Run Promotional Campaign
84683,CLASSICAL ROSE CANDLESTAND,187,147.35000000000002,6,Maintain Current Strategy
84685,BEACH HUT KEY CABINET,21,78.75,6,Run Promotional Campaign
84686,BEACH HUT MIRROR,49,66.39,7,Run Promotional Campaign
84687,BEACH HUT SHELF W 3 DRAWERS,70,376.5,16,Run Promotional Campaign
84688,BEACH HUT DESIGN BLACKBOARD,34,144.5,7,Run Promotional Campaign
84689,S/2 BEACH HUT TREASURE CHESTS,3,9.95,2,Run Promotional Campaign
84691,PACK 20 DOLLY PEGS,242,174.5,2,Maintain Current Strategy
84692,BOX OF 24 COCKTAIL PARASOLS,6803,2808.57,209,Increase Inventory
84705C,PINK FLOCK PHOTO FRAME ,12,15.0,1,Run Promotional Campaign
84706D,CHERRY BLOSSOM TABLE CLOCK ,6,25.7,3,Run Promotional Campaign
84706F,RED PEONY TABLE CLOCK,16,47.2,9,Run Promotional Campaign
84707A,SILVER JEWELLED MIRROR TRINKET TRAY,66,440.73999999999995,21,Run Promotional Campaign
84707B,PINK JEWELLED MIRROR TRINKET TRAY,29,178.56,13,Run Promotional Campaign
84708B,PINK JEWELLED PHOTO FRAME ,53,256.75,13,Run Promotional Campaign
84709B,PINK OVAL JEWELLED MIRROR,20,119.0,11,Run Promotional Campaign
84711A,SILVER OVAL SHAPE TRINKET BOX,14,139.29999999999998,7,Run Promotional Campaign
84711B,PINK OVAL SHAPE TRINKET BOX,15,149.25,7,Run Promotional Campaign
84712B,PINK JEWELLED PHOTO FRAME,19,147.87,9,Run Promotional Campaign
84715,SET OF 6 ICE CREAM SKITTLES,16,47.2,3,Run Promotional Campaign
84723,CHERRY BLOSSOM CANVAS ART PICTURE,41,97.95,5,Run Promotional Campaign
84725,FREESTYLE CANVAS ART PICTURE,41,39.65,16,Run Promotional Campaign
84731,3 BIRDS CANVAS SCREEN,2,2.04,2,Run Promotional Campaign
84732B,CUTE BIRD CEATURE SCREEN,22,8.58,2,Run Promotional Campaign
84732D,CUTE RABBIT CEATURE SCREEN ,11,4.29,2,Run Promotional Campaign
84741C,CITRUS GARLAND FELT FLOWERS ,60,117.0,14,Run Promotional Campaign
84743C,ORANGE FELT VASE + FLOWERS,1,1.25,1,Run Promotional Campaign
84744,S/6 SEW ON CROCHET FLOWERS,108,135.0,17,Maintain Current Strategy
84745A,PINK HANGING GINGHAM EASTER HEN,32,13.44,5,Run Promotional Campaign
84745B,BLUE HANGING GINGHAM EASTER HEN,32,13.44,5,Run Promotional Campaign
84746,PINK EASTER HENS+FLOWER,3,11.25,1,Run Promotional Campaign
84748,FOLK FELT HANGING MULTICOL GARLAND,24,90.0,7,Run Promotional Campaign
84750A,PINK SMALL GLASS CAKE STAND,24,46.8,1,Run Promotional Campaign
84750B,BLACK SMALL GLASS CAKE STAND,61,54.99,12,Run Promotional Campaign
84751B,BLACK MEDIUM GLASS CAKE STAND,17,37.11,8,Run Promotional Campaign
84754,S/15 SILVER GLASS BAUBLES IN BAG,502,586.46,35,Increase Inventory
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,15563,9566.51,318,Increase Inventory
84760S,SMALL HANGING GLASS+ZINC LANTERN,43,62.349999999999994,8,Run Promotional Campaign
84763,ZINC FINISH 15CM PLANTER POTS,573,679.01,39,Increase Inventory
84766,SILVER ROCOCO CANDLE STICK,146,340.7,11,Maintain Current Strategy
84773,RED ROSE AND LACE C/COVER,3,8.850000000000001,1,Run Promotional Campaign
84789,ENCHANTED BIRD PLANT CAGE,180,595.8000000000001,33,Maintain Current Strategy
84792,ENCHANTED BIRD COATHANGER 5 HOOK,774,3470.5400000000004,125,Increase Inventory
84795B,SUNSET CHECK HAMMOCK,167,1249.65,33,Maintain Current Strategy
84795C,OCEAN STRIPE HAMMOCK ,2,15.9,1,Run Promotional Campaign
84796A,PINK HAWAIIAN PICNIC HAMPER FOR 2,14,178.5,10,Run Promotional Campaign
84796B,BLUE SAVANNAH PICNIC HAMPER FOR 2,69,793.3499999999999,16,Run Promotional Campaign
84798A,PINK FOXGLOVE ARTIIFCIAL FLOWER,14,35.699999999999996,3,Run Promotional Campaign
84798B,PURPLE FOXGLOVE ARTIIFCIAL FLOWER,7,17.849999999999998,2,Run Promotional Campaign
